PRES,PRES_QC,TEMP,PSAL,FLU2,CNDC,DENS,SVEL,CCOMD003,DOX1-1,DOX2-1,CNDC-2,OXYOCPVL-1,SPAR,PAR,PSAL-2,TEMP-2,ATTNZS01,TEMP_QC,PSAL_QC,FLU2_QC,CNDC_QC,DENS_QC,SVEL_QC,CCOMD003_QC,DOX1-1_QC,DOX2-1_QC,CNDC-2_QC,OXYOCPVL-1_QC,SPAR_QC,PAR_QC,PSAL-2_QC,TEMP-2_QC,ATTNZS01_QC
189.0,1.0,1.893,34.933,0.027,30.717,27.913,1460.6,0.93,7.806,339.14,3.07,2.273,502.63,0.051,34.91,1.893,93.095,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,1.0,1.887,34.933,0.027,30.711,27.914,1460.58,1.263,7.819,339.719,3.069,2.274,501.61,0.051,34.91,1.887,93.164,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.0,1.0,1.883,34.933,0.019,30.708,27.914,1460.58,1.442,7.823,339.881,3.069,2.276,500.79,0.051,34.91,1.883,92.954,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,1.0,1.881,34.933,0.028,30.707,27.914,1460.59,0.9,7.832,340.294,3.069,2.277,502.48,0.051,34.91,1.881,92.912,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.0,1.0,1.879,34.933,0.024,30.706,27.914,1460.6,1.165,7.833,340.321,3.069,2.278,502.63,0.051,34.91,1.879,93.186,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.0,1.0,1.876,34.933,0.0,30.703,27.915,1460.6,1.275,7.829,340.137,3.069,2.278,502.63,0.051,34.91,1.876,93.194,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,1.0,1.873,34.933,0.0,30.702,27.915,1460.61,1.368,7.817,339.643,3.068,2.277,502.63,0.051,34.91,1.874,93.176,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.0,1.0,1.868,34.933,0.0,30.698,27.915,1460.6,1.266,7.811,339.369,3.068,2.276,503.58,0.051,34.91,1.868,93.099,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.0,1.0,1.866,34.933,0.0,30.696,27.916,1460.61,1.256,7.808,339.225,3.068,2.274,504.1,0.051,34.91,1.866,93.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.0,1.0,1.863,34.933,0.0,30.694,27.916,1460.61,1.338,7.804,339.083,3.068,2.273,502.93,0.051,34.91,1.863,93.07,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.0,1.0,1.858,34.933,0.0,30.69,27.916,1460.6,1.018,7.81,339.314,3.067,2.273,504.04,0.051,34.91,1.858,93.178,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,1.0,1.853,34.933,0.0,30.686,27.917,1460.6,1.303,7.807,339.193,3.067,2.272,504.64,0.051,34.91,1.853,93.169,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.0,1.0,1.851,34.933,0.0,30.685,27.917,1460.61,0.871,7.806,339.144,3.067,2.272,504.64,0.051,34.91,1.851,93.165,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,1.0,1.848,34.933,0.028,30.683,27.917,1460.61,0.778,7.816,339.589,3.067,2.272,504.64,0.051,34.91,1.848,93.179,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,1.0,1.847,34.933,0.027,30.683,27.917,1460.63,0.782,7.819,339.725,3.066,2.272,504.64,0.051,34.91,1.847,93.153,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.0,1.0,1.847,34.933,0.024,30.683,27.917,1460.64,0.997,7.828,340.086,3.066,2.273,504.0,0.051,34.91,1.847,93.05,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,1.0,1.846,34.933,0.024,30.683,27.917,1460.65,1.256,7.827,340.043,3.066,2.273,502.85,0.051,34.91,1.846,93.063,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,1.0,1.845,34.934,0.024,30.682,27.918,1460.66,1.3,7.833,340.32,3.066,2.274,0.0,0.051,34.91,1.845,93.159,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0,1.0,1.845,34.934,0.02,30.683,27.918,1460.68,1.084,7.827,340.056,3.066,2.273,0.0,0.051,34.91,1.845,93.137,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,1.0,1.844,34.933,0.022,30.683,27.918,1460.69,1.204,7.838,340.526,3.066,2.274,504.61,0.051,34.91,1.845,93.184,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.0,1.0,1.844,34.933,0.021,30.683,27.918,1460.71,1.154,7.852,341.164,3.067,2.276,503.1,0.051,34.91,1.845,93.162,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
